sigma_meV,tau_c_s,T_K,F_readout
0.500,1.000e-12,4.6120,0.640026
0.500,1.000e-12,4.9130,0.700149
0.500,1.000e-12,5.2140,0.765572
0.500,1.000e-12,5.5151,0.828894
0.500,1.000e-12,5.8161,0.882621
0.500,1.000e-12,6.1171,0.921431
0.500,1.000e-12,6.4181,0.943439
0.500,1.000e-12,6.7191,0.949876
0.500,1.000e-12,7.0201,0.943620
0.500,1.000e-12,7.3211,0.927653
0.500,1.000e-12,7.6221,0.904222
0.500,1.000e-12,7.9231,0.874808
0.500,1.000e-12,8.2241,0.840513
0.500,1.000e-12,8.5251,0.802455
0.500,1.000e-12,8.8261,0.761984
0.500,1.000e-12,9.1271,0.720701
0.500,1.000e-12,9.4281,0.680338
0.500,1.000e-12,9.7291,0.642559
0.500,1.000e-09,1.0000,0.500000
0.500,1.000e-09,1.3010,0.500000
0.500,1.000e-09,1.6020,0.500000
0.500,1.000e-09,1.9030,0.500003
0.500,1.000e-09,2.2040,0.500028
0.500,1.000e-09,2.5050,0.500174
0.500,1.000e-09,2.8060,0.500753
0.500,1.000e-09,3.1070,0.502507
0.500,1.000e-09,3.4080,0.506834
0.500,1.000e-09,3.7090,0.515905
0.500,1.000e-09,4.0100,0.532531
0.500,1.000e-09,4.3110,0.559643
0.500,1.000e-09,4.6120,0.599337
0.500,1.000e-09,4.9130,0.651673
0.500,1.000e-09,5.2140,0.713709
0.500,1.000e-09,5.5151,0.779452
0.500,1.000e-09,5.8161,0.841117
0.500,1.000e-09,6.1171,0.891395
0.500,1.000e-09,6.4181,0.925636
0.500,1.000e-09,6.7191,0.942775
0.500,1.000e-09,7.0201,0.944638
0.500,1.000e-09,7.3211,0.934334
0.500,1.000e-09,7.6221,0.914807
0.500,1.000e-09,7.9231,0.888214
0.500,1.000e-09,8.2241,0.856036
0.500,1.000e-09,8.5251,0.819489
0.500,1.000e-09,8.8261,0.779871
0.500,1.000e-09,9.1271,0.738709
0.500,1.000e-09,9.4281,0.697707
0.500,1.000e-09,9.7291,0.658589
