t_readout_s,T_K,P_err_default,P_err_small_barrier
1.342313e-09,7.33288,4.974436e-01,3.016720e-01
1.342313e-09,7.51370,4.970879e-01,3.033429e-01
1.342313e-09,7.69452,4.967039e-01,3.050679e-01
1.342313e-09,7.87534,4.962914e-01,3.068376e-01
1.342313e-09,8.05616,4.958504e-01,3.086438e-01
1.342313e-09,8.23699,4.953812e-01,3.104789e-01
1.342313e-09,8.41781,4.948840e-01,3.123364e-01
1.342313e-09,8.59863,4.943591e-01,3.142104e-01
1.342313e-09,8.77945,4.938070e-01,3.160956e-01
1.342313e-09,8.96027,4.932284e-01,3.179873e-01
1.342313e-09,9.14110,4.926238e-01,3.198815e-01
1.342313e-09,9.32192,4.919940e-01,3.217745e-01
1.342313e-09,9.50274,4.913399e-01,3.236631e-01
1.342313e-09,9.68356,4.906622e-01,3.255445e-01
1.342313e-09,9.86438,4.899619e-01,3.274162e-01
1.801805e-09,0.10000,5.000000e-01,5.000000e-01
1.801805e-09,0.28082,5.000000e-01,4.999963e-01
1.801805e-09,0.46164,5.000000e-01,4.995221e-01
1.801805e-09,0.64247,5.000000e-01,4.960225e-01
1.801805e-09,0.82329,5.000000e-01,4.870423e-01
1.801805e-09,1.00411,5.000000e-01,4.726617e-01
1.801805e-09,1.18493,5.000000e-01,4.544898e-01
1.801805e-09,1.36575,5.000000e-01,4.343433e-01
1.801805e-09,1.54658,5.000000e-01,4.136726e-01
1.801805e-09,1.72740,5.000000e-01,3.934671e-01
1.801805e-09,1.90822,5.000000e-01,3.743360e-01
1.801805e-09,2.08904,5.000000e-01,3.566188e-01
1.801805e-09,2.26986,5.000000e-01,3.404768e-01
1.801805e-09,2.45068,4.999999e-01,3.259588e-01
1.801805e-09,2.63151,4.999998e-01,3.130441e-01
1.801805e-09,2.81233,4.999995e-01,3.016706e-01
1.801805e-09,2.99315,4.999988e-01,2.917529e-01
1.801805e-09,3.17397,4.999975e-01,2.831929e-01
1.801805e-09,3.35479,4.999950e-01,2.758875e-01
1.801805e-09,3.53562,4.999908e-01,2.697332e-01
1.801805e-09,3.71644,4.999839e-01,2.646283e-01
1.801805e-09,3.89726,4.999732e-01,2.604756e-01
1.801805e-09,4.07808,4.999575e-01,2.571829e-01
1.801805e-09,4.25890,4.999351e-01,2.546638e-01
1.801805e-09,4.43973,4.999044e-01,2.528379e-01
1.801805e-09,4.62055,4.998634e-01,2.516310e-01
1.801805e-09,4.80137,4.998099e-01,2.509749e-01
1.801805e-09,4.98219,4.997419e-01,2.508071e-01
1.801805e-09,5.16301,4.996570e-01,2.510709e-01
1.801805e-09,5.34384,4.995530e-01,2.517146e-01
1.801805e-09,5.52466,4.994275e-01,2.526913e-01
1.801805e-09,5.70548,4.992785e-01,2.539590e-01
1.801805e-09,5.88630,4.991037e-01,2.554795e-01
1.801805e-09,6.06712,4.989012e-01,2.572188e-01
1.801805e-09,6.24795,4.986690e-01,2.591460e-01
1.801805e-09,6.42877,4.984055e-01,2.612339e-01
1.801805e-09,6.60959,4.981092e-01,2.634578e-01
1.801805e-09,6.79041,4.977787e-01,2.657960e-01
1.801805e-09,6.97123,4.974128e-01,2.682289e-01
1.801805e-09,7.15205,4.970108e-01,2.707393e-01
1.801805e-09,7.33288,4.965717e-01,2.733117e-01
1.801805e-09,7.51370,4.960952e-01,2.759327e-01
1.801805e-09,7.69452,4.955809e-01,2.785901e-01
1.801805e-09,7.87534,4.950287e-01,2.812734e-01
1.801805e-09,8.05616,4.944386e-01,2.839732e-01
1.801805e-09,8.23699,4.938108e-01,2.866813e-01
1.801805e-09,8.41781,4.931459e-01,2.893906e-01
1.801805e-09,8.59863,4.924443e-01,2.920946e-01
1.801805e-09,8.77945,4.917067e-01,2.947881e-01
1.801805e-09,8.96027,4.909339e-01,2.974662e-01
